\lbrack	[	0x5b
\heartsuit	♡	0x2661
\diamondsuit	♢	0x2662
\clubsuit	♣	0x2663
\varspadesuit	♤	0x2664
\varheartsuit	♥	0x2665
\vardiamondsuit	♦	0x2666
\varclubsuit	♧	0x2667
\quarternote	♩	0x2669
\eighthnote	♪	0x266a
\twonotes	♫	0x266b
\sixteenthnote	♬	0x266c
\flat	♭	0x266d
\natural	♮	0x266e
\sharp	♯	0x266f
\recycle	♻	0x267b
\acidfree	♾	0x267e
\dicei	⚀	0x2680
\diceii	⚁	0x2681
\diceiii	⚂	0x2682
\diceiv	⚃	0x2683
\dicev	⚄	0x2684
\dicevi	⚅	0x2685
\circledrightdot	⚆	0x2686
\circledtwodots	⚇	0x2687
\blackcircledrightdot	⚈	0x2688
\blackcircledtwodots	⚉	0x2689
\anchor	⚓	0x2693
\swords	⚔	0x2694
\warning	⚠	0x26a0
\Hermaphrodite	⚥	0x26a5
\medcirc	⚪	0x26aa
\medbullet	⚫	0x26ab
\mdsmwhtcircle	⚬	0x26ac
\neuter	⚲	0x26b2
\pencil	✎	0x270e
\checkmark	✓	0x2713
\ballotx	✗	0x2717
\maltese	✠	0x2720
\circledstar	✪	0x272a
\varstar	✶	0x2736
\dingasterisk	✽	0x273d
\lbrbrak	〔	0x3014
\rbrbrak	〕	0x3015
\draftingarrow	➛	0x279b
\arrowbullet	➢	0x27a2
\threedangle	⟀	0x27c0
\whiteinwhitetriangle	⟁	0x27c1
\perp	⟂	0x27c2
\subsetcirc	⟃	0x27c3
\supsetcirc	⟄	0x27c4
\Lbag	⟅	0x27c5
\Rbag	⟆	0x27c6
\veedot	⟇	0x27c7
\bsolhsub	⟈	0x27c8
\suphsol	⟉	0x27c9
\longdivision	⟌	0x27cc
\Diamonddot	⟐	0x27d0
\wedgedot	⟑	0x27d1
\upin	⟒	0x27d2
\pullback	⟓	0x27d3
\pushout	⟔	0x27d4
\leftouterjoin	⟕	0x27d5
\rightouterjoin	⟖	0x27d6
\fullouterjoin	⟗	0x27d7
\bigbot	⟘	0x27d8
\bigtop	⟙	0x27d9
\DashVDash	⟚	0x27da
\dashVdash	⟛	0x27db
\multimapinv	⟜	0x27dc
\vlongdash	⟝	0x27dd
\longdashv	⟞	0x27de
\cirbot	⟟	0x27df
\lozengeminus	⟠	0x27e0
\concavediamond	⟡	0x27e1
\concavediamondtickleft	⟢	0x27e2
\concavediamondtickright	⟣	0x27e3
\whitesquaretickleft	⟤	0x27e4
\whitesquaretickright	⟥	0x27e5
\llbracket	⟦	0x27e6
\rrbracket	⟧	0x27e7
\langle	⟨	0x27e8
\rangle	⟩	0x27e9
\lang	⟪	0x27ea
\rang	⟫	0x27eb
